,Time,Potential
301,3.0100000000000002,-0.24644690789422186
302,3.02,-0.24758351630052866
303,3.0300000000000002,-0.24864909977552
304,3.04,-0.24964113288228826
305,3.0500000000000003,-0.2505570641482531
306,3.06,-0.2513943129838991
307,3.0700000000000003,-0.2521503164104712
308,3.08,-0.2528225524775425
309,3.09,-0.25340854441568955
310,3.1,-0.2539058569627415
311,3.11,-0.25431205671432605
312,3.12,-0.25462470272869725
313,3.13,-0.25484139990143084
314,3.14,-0.25495983073049755
315,3.15,-0.2549777605856969
316,3.16,-0.25489303648033473
317,3.17,-0.25470354685935226
318,3.18,-0.25440720267654277
319,3.19,-0.2540019926856764
320,3.2,-0.25348602519405955
321,3.21,-0.2528575346894821
322,3.22,-0.2521148820432364
323,3.23,-0.2512565160303171
324,3.24,-0.25028094681851204
325,3.25,-0.24918679881951963
326,3.2600000000000002,-0.24797285926411633
327,3.27,-0.24663808594809672
328,3.2800000000000002,-0.24518160839948142
329,3.29,-0.2436026945502433
330,3.3000000000000003,-0.24190071983849287
331,3.31,-0.24007521258417322
332,3.3200000000000003,-0.23812590442544543
333,3.33,-0.23605273852008948
334,3.34,-0.23385587067713748
335,3.35,-0.2315356425984929
336,3.36,-0.22909255250458324
337,3.37,-0.22652729030296404
338,3.38,-0.2238407816607815
339,3.39,-0.22103419462897617
340,3.4,-0.2181089397624638
341,3.41,-0.21506665036232717
342,3.42,-0.2119091613382008
343,3.43,-0.20863853395153759
344,3.44,-0.20525708439127
345,3.45,-0.2017673851735974
346,3.46,-0.19817226293291532
347,3.47,-0.1944747813442437
348,3.48,-0.19067824344798037
349,3.49,-0.18678621314122595
350,3.5,-0.18280250177669546
351,3.5100000000000002,-0.17873115054070823
352,3.52,-0.17457644621168822
353,3.5300000000000002,-0.17034293146334517
354,3.54,-0.1660353899709824
355,3.5500000000000003,-0.16165883848010337
356,3.56,-0.15721852215422064
357,3.5700000000000003,-0.15271990383574782
358,3.58,-0.148168678299524
359,3.59,-0.14357076446749006
360,3.6,-0.138932266958449
361,3.61,-0.13425946310642184
362,3.62,-0.12955882241014824
363,3.63,-0.1248370161095526
364,3.64,-0.12010087976731385
365,3.65,-0.11535737936046227
366,3.66,-0.11061360028759833
367,3.67,-0.10587676335111157
368,3.68,-0.10115422941420313
369,3.69,-0.09645345075383126
370,3.7,-0.09178192937331069
371,3.71,-0.0871472116577477
372,3.72,-0.08255691383176987
373,3.73,-0.07801871011643019
374,3.74,-0.07354027205963999
375,3.75,-0.06912923458047389
376,3.7600000000000002,-0.06479319446523978
377,3.77,-0.060539732630369006
378,3.7800000000000002,-0.05637638906439585
379,3.79,-0.052310600738255754
380,3.8000000000000003,-0.04834967416689391
381,3.81,-0.04450079022011766
382,3.8200000000000003,-0.04077101928599402
383,3.83,-0.03716728437270603
384,3.84,-0.03369630705327713
385,3.85,-0.030364589205054044
386,3.86,-0.02717842011723314
387,3.87,-0.02414388047359709
388,3.88,-0.021266802578379183
389,3.89,-0.01855273056615439
390,3.9,-0.016006909906469406
391,3.91,-0.013634293998282119
392,3.92,-0.011439538106609344
393,3.93,-0.00942696535202295
394,3.94,-0.007600543530383709
395,3.95,-0.005963880600450663
396,3.96,-0.0045202274732452806
397,3.97,-0.0032724674480035317
398,3.98,-0.0022230951222159795
399,3.99,-0.0013742074204190376
400,4.0,-0.000727502995331836
401,4.01,-0.0002842813732649935
402,4.0200000000000005,-4.543516264369421e-05
403,4.03,-1.1443939386027333e-05
404,4.04,-0.00018237505903523054
405,4.05,-0.000557885163726883
406,4.0600000000000005,-0.0011372199219639254
407,4.07,-0.001919216306849064
408,4.08,-0.0029023062135691605
409,4.09,-0.0040845205856421
410,4.1,-0.00546349616167839
411,4.11,-0.007036482344359411
412,4.12,-0.008800350874085828
413,4.13,-0.010751605141770315
414,4.14,-0.012886389730905598
415,4.15,-0.015200504065277978
416,4.16,-0.01768941253170867
417,4.17,-0.02034825558058536
418,4.18,-0.023171869939410363
419,4.19,-0.026154805277892584
420,4.2,-0.029291334058939585
421,4.21,-0.032575465924002844
422,4.22,-0.03600097299813563
423,4.23,-0.039561410841158905
424,4.24,-0.043250125124801496
425,4.25,-0.047060266408567406
426,4.26,-0.05098482423043779
427,4.2700000000000005,-0.05501664971174244
428,4.28,-0.05914845762169804
429,4.29,-0.06337284149802708
430,4.3,-0.0676823129966221
431,4.3100000000000005,-0.07206932594395936
432,4.32,-0.0765262724449697
433,4.33,-0.08104549331673877
434,4.34,-0.08561932733466188
435,4.3500000000000005,-0.09024014379102778
436,4.36,-0.09490032408619002
437,4.37,-0.09959225703397222
438,4.38,-0.10430838612391069
439,4.39,-0.10904126463478789
440,4.4,-0.11378354551925322
441,4.41,-0.11852795697622462
442,4.42,-0.12326732173374244
443,4.43,-0.1279946182110728
444,4.44,-0.13270300498951
445,4.45,-0.13738578495851883
446,4.46,-0.14203639548776498
447,4.47,-0.14664845172369115
448,4.48,-0.1512157992606229
449,4.49,-0.15573249648170248
450,4.5,-0.16019277944666682
451,4.51,-0.16459107515580715
452,4.5200000000000005,-0.16892205592875256
453,4.53,-0.17318065580981554
454,4.54,-0.1773620298108163
455,4.55,-0.18146153987195351
456,4.5600000000000005,-0.18547478660269584
457,4.57,-0.1893976478243037
458,4.58,-0.19322625850088038
459,4.59,-0.19695697713882376
460,4.6000000000000005,-0.2005863916628538
461,4.61,-0.2041113543924132
462,4.62,-0.20752898831464292
