time,x1,x2,y1,y2
5.9,0.681586992,0.588756816,-0.681586992,-0.588756816
5.91,0.683585308,0.587258007,-0.683585308,-0.587258007
5.92,0.685569752,0.585747279,-0.685569752,-0.585747279
5.93,0.687540343,0.584224714,-0.687540343,-0.584224714
5.94,0.689497104,0.582690396,-0.689497104,-0.582690396
5.95,0.691440054,0.581144406,-0.691440054,-0.581144406
5.96,0.693369215,0.579586828,-0.693369215,-0.579586828
5.97,0.695284606,0.57801774,-0.695284606,-0.57801774
5.98,0.69718624,0.576437217,-0.69718624,-0.576437217
5.99,0.69907413,0.574845331,-0.69907413,-0.574845331
6,0.700948291,0.573242154,-0.700948291,-0.573242154
6.01,0.702808734,0.571627757,-0.702808734,-0.571627757
6.02,0.704655472,0.570002212,-0.704655472,-0.570002212
6.03,0.706488519,0.568365593,-0.706488519,-0.568365593
6.04,0.708307888,0.566717969,-0.708307888,-0.566717969
6.05,0.710113589,0.565059412,-0.710113589,-0.565059412
6.06,0.711905629,0.563389985,-0.711905629,-0.563389985
6.07,0.713684013,0.561709751,-0.713684013,-0.561709751
6.08,0.715448747,0.560018772,-0.715448747,-0.560018772
6.09,0.717199836,0.558317112,-0.717199836,-0.558317112
6.1,0.718937286,0.556604834,-0.718937286,-0.556604834
6.11,0.720661104,0.554882001,-0.720661104,-0.554882001
6.12,0.722371293,0.553148676,-0.722371293,-0.553148676
6.13,0.724067857,0.551404919,-0.724067857,-0.551404919
6.14,0.725750796,0.549650785,-0.725750796,-0.549650785
6.15,0.727420107,0.547886331,-0.727420107,-0.547886331
6.16,0.729075789,0.54611161,-0.729075789,-0.54611161
6.17,0.73071784,0.544326679,-0.73071784,-0.544326679
6.18,0.732346259,0.542531592,-0.732346259,-0.542531592
6.19,0.733961044,0.540726405,-0.733961044,-0.540726405
6.2,0.735562194,0.538911174,-0.735562194,-0.538911174
6.21,0.737149703,0.537085949,-0.737149703,-0.537085949
6.22,0.738723565,0.535250781,-0.738723565,-0.535250781
6.23,0.740283769,0.533405716,-0.740283769,-0.533405716
6.24,0.741830307,0.531550805,-0.741830307,-0.531550805
6.25,0.74336317,0.529686095,-0.74336317,-0.529686095
6.26,0.744882351,0.527811634,-0.744882351,-0.527811634
6.27,0.74638784,0.525927472,-0.74638784,-0.525927472
6.28,0.747879628,0.524033657,-0.747879628,-0.524033657
6.29,0.749357703,0.522130233,-0.749357703,-0.522130233
6.3,0.75082205,0.520217244,-0.75082205,-0.520217244
6.31,0.752272652,0.518294731,-0.752272652,-0.518294731
6.32,0.753709495,0.516362739,-0.753709495,-0.516362739
6.33,0.755132561,0.514421308,-0.755132561,-0.514421308
6.34,0.756541836,0.512470481,-0.756541836,-0.512470481
6.35,0.757937303,0.510510302,-0.757937303,-0.510510302
6.36,0.759318948,0.508540813,-0.759318948,-0.508540813
6.37,0.760686752,0.506562054,-0.760686752,-0.506562054
6.38,0.762040691,0.504574062,-0.762040691,-0.504574062
6.39,0.763380741,0.502576874,-0.763380741,-0.502576874
6.4,0.764706878,0.500570526,-0.764706878,-0.500570526
