t,x1,y1,x2,y2,x3,y3
3.63,1.250757403,1.167341096,-1.687536654,-0.039665023,0.436779251,-1.127676073
3.64,1.249299972,1.170439862,-1.685988255,-0.037696164,0.436688283,-1.132743698
3.65,1.247827781,1.173519037,-1.684415098,-0.035731563,0.436587317,-1.137787474
3.66,1.246340878,1.176578695,-1.682817219,-0.033771242,0.43647634,-1.142807453
3.67,1.244839312,1.179618906,-1.681194652,-0.031815223,0.43635534,-1.147803684
3.68,1.243323128,1.182639744,-1.679547432,-0.029863527,0.436224304,-1.152776217
3.69,1.241792375,1.185641279,-1.677875595,-0.027916176,0.43608322,-1.157725103
3.7,1.240247094,1.188623578,-1.676179172,-0.025973192,0.435932079,-1.162650387
3.71,1.238687322,1.191586704,-1.674458194,-0.024034593,0.435770872,-1.167552112
3.72,1.237113098,1.19453072,-1.672712691,-0.022100399,0.435599593,-1.172430321
3.73,1.235524461,1.197455687,-1.670942693,-0.020170629,0.435418232,-1.177285057
3.74,1.233921448,1.200361669,-1.66914823,-0.018245305,0.435226782,-1.182116364
3.75,1.232304098,1.203248729,-1.667329333,-0.016324444,0.435025235,-1.186924285
3.76,1.230672448,1.206116928,-1.665486031,-0.014408067,0.434813582,-1.191708861
3.77,1.229026538,1.208966331,-1.663618355,-0.012496194,0.434591817,-1.196470137
3.78,1.2273664,1.211796995,-1.661726332,-0.010588842,0.434359932,-1.201208153
3.79,1.225692065,1.214608975,-1.659809989,-0.008686031,0.434117924,-1.205922944
3.8,1.224003563,1.217402324,-1.65786935,-0.006787777,0.433865787,-1.210614547
3.81,1.222300925,1.220177097,-1.655904442,-0.004894099,0.433603517,-1.215282999
3.82,1.220584178,1.222933349,-1.653915289,-0.003005013,0.43333111,-1.219928336
3.83,1.218853355,1.225671132,-1.651901916,-0.001120538,0.433048561,-1.224550594
3.84,1.217108484,1.228390502,-1.64986435,0.000759308,0.432755865,-1.22914981
3.85,1.215349596,1.231091512,-1.647802615,0.002634509,0.432453019,-1.23372602
3.86,1.213576718,1.233774213,-1.645716736,0.004505046,0.432140018,-1.238279259
3.87,1.211789872,1.236438653,-1.643606733,0.006370904,0.43181686,-1.242809557
3.88,1.209989082,1.239084878,-1.641472627,0.008232067,0.431483544,-1.247316945
3.89,1.20817437,1.241712934,-1.639314439,0.010088518,0.431140068,-1.251801452
3.9,1.206345759,1.244322866,-1.637132189,0.011940242,0.43078643,-1.256263109
3.91,1.20450327,1.246914722,-1.634925898,0.013787224,0.430422628,-1.260701946
3.92,1.202646927,1.249488547,-1.632695587,0.015629446,0.430048661,-1.265117993
3.93,1.200776751,1.252044387,-1.630441277,0.017466894,0.429664525,-1.269511281
